127.0.0.1, 2018-04-10 15:40:31, GET, /admin, HTTP/1.1, 200, 2.202000
127.0.0.1, 2018-04-10 15:40:31, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.091000
127.0.0.1, 2018-04-10 15:40:32, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.085000
127.0.0.1, 2018-04-10 15:40:32, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.236000
127.0.0.1, 2018-04-10 15:40:32, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.236000
127.0.0.1, 2018-04-10 15:40:32, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-04-10 15:40:32, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-04-10 15:40:32, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-04-10 15:40:32, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.267000
127.0.0.1, 2018-04-10 15:40:32, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.287000
127.0.0.1, 2018-04-10 15:40:32, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-04-10 15:40:32, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.322000
127.0.0.1, 2018-04-10 15:40:32, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-04-10 15:40:32, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.053000
127.0.0.1, 2018-04-10 15:40:32, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-10 15:40:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-10 15:40:36, POST, /admin/default/index, HTTP/1.1, 303, 0.043000
127.0.0.1, 2018-04-10 15:40:36, GET, /admin/default/site, HTTP/1.1, 200, 0.433000
127.0.0.1, 2018-04-10 15:40:36, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-10 15:40:36, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-10 15:40:37, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-10 15:40:37, POST, /admin/default/check_version, HTTP/1.1, 200, 0.364000
127.0.0.1, 2018-04-10 15:40:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-16 16:17:50, GET, /, HTTP/1.1, 303, 0.832000
127.0.0.1, 2018-04-16 16:17:57, GET, /welcome/default/index, HTTP/1.1, 200, 6.180000
127.0.0.1, 2018-04-16 16:17:57, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.068000
127.0.0.1, 2018-04-16 16:17:57, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-04-16 16:17:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-04-16 16:17:59, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-04-16 16:17:59, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-16 16:18:31, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-04-16 16:18:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.046000
127.0.0.1, 2018-04-16 16:18:40, GET, /admin/default/index, HTTP/1.1, 200, 2.178000
127.0.0.1, 2018-04-16 16:18:40, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.107000
127.0.0.1, 2018-04-16 16:18:40, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-04-16 16:18:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-16 16:18:45, POST, /admin/default/index, HTTP/1.1, 303, 0.191000
127.0.0.1, 2018-04-16 16:18:45, GET, /admin/default/site, HTTP/1.1, 200, 0.377000
127.0.0.1, 2018-04-16 16:18:45, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.035000
127.0.0.1, 2018-04-16 16:18:45, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-04-16 16:18:46, POST, /admin/default/check_version, HTTP/1.1, 200, 0.292000
127.0.0.1, 2018-04-16 16:18:46, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-16 16:18:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-16 16:39:41, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-04-22 23:31:27, GET, /, HTTP/1.1, 303, 0.045731
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.351785
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003530
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002902
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004663
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.008513
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002349
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003019
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001029
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001651
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001357
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002411
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.009807
127.0.0.1, 2018-04-22 23:31:28, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001321
